Response_ID,Age,Gender,Income,Occupation,Gym_Days_Per_Week,Workout_Type,Gym_Duration_Years,Hist_Foot_Infection,Forgetting_Freq,Primary_Pain_Point,Prev_Foot_Care,Hygiene_Score,Skin_Sensitivity,Imp_Material,Imp_Antibacterial,Imp_Antimicrobial,Imp_Price,Imp_Lifestyle_Fit,Imp_Brand,Monthly_Activewear_Spend,WTP_Disposable_Socks,Max_WTP_Per_Pair,Subscription_Interest,Eco_Trend_Score,Vendor_Trust_Score,QC_Score,Preferred_Pack,Primary_Purchase_Driver,Brand_Stigma,Open_Ended_Reason,Owns_Gym_Bag,Owns_Shaker_Bottle,Buys_Sweat_Towel,Buys_Body_Wipes,Buys_Deodorant_Sticks,Interested_Disposable_Underwear,Uses_Foot_Powder_Insert,Buys_Blister_Plasters,Uses_Muscle_Recovery_Balm,Products_Purchased_Together,Recency_Days,Frequency_Purchases_6M,Monetary_Spend_6M
66,29,Male,100k+,Corporate,5,Yoga,2,Yes,1,Blisters,No,5,Normal,4,3,4,3,3,5,372.0,1,25-35,3,5,3,3,Pack_5,Eco_Friendly,No,I prefer sustainable materials and high-end aesthetics.,No,Yes,No,No,No,Yes,Yes,No,Yes,Disposable_Socks; Shaker_Bottle; Disposable_Underwear; Foot_Powder_Insert; Muscle_Recovery_Balm,30,5,343.93
67,32,Male,100k+,Corporate,2,Cardio,2,Yes,4,Odor,0,6,0,3,4,4,4,2,2,248.26,1,25-35,1,2,5,4,Single,Convenience,Yes,I constantly forget my gym gear and need 10-minute delivery.,No,Yes,No,No,No,Yes,Yes,Yes,No,Disposable_Socks; Shaker_Bottle; Disposable_Underwear; Foot_Powder_Insert; Blister_Plasters,43,3,231.74
68,30,Male,50k-100k,Corporate,3,Pilates,2,Yes,2,Odor,No,10,Normal,5,2,4,3,4,4,296.62,1,25-35,4,5,4,4,Pack_5,Eco_Friendly,No,I prefer sustainable materials and high-end aesthetics.,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Disposable_Socks; Shaker_Bottle; Sweat_Towel; Body_Wipes; Deodorant_Sticks; Disposable_Underwear; Blister_Plasters,34,4,231.8
69,30,Male,100k+,Corporate,2,Cardio,2,No,4,Odor,0,7,0,3,4,4,4,2,3,213.02,1,25-35,5,4,4,4,Single,Convenience,Yes,I constantly forget my gym gear and need 10-minute delivery.,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Disposable_Socks; Gym_Bag; Sweat_Towel; Body_Wipes; Deodorant_Sticks; Disposable_Underwear; Blister_Plasters; Muscle_Recovery_Balm,42,4,245.63
70,37,Female,100k+,Entrepreneur,2,Yoga,2,Yes,3,Odor,Yes,8,Sensitive,5,2,4,3,4,5,300.92,1,35+,4,5,3,4,Pack_5,Eco_Friendly,No,I prefer sustainable materials and high-end aesthetics.,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Disposable_Socks; Gym_Bag; Body_Wipes; Deodorant_Sticks; Disposable_Underwear; Foot_Powder_Insert,37,4,307.95
71,31,Female,100k+,Entrepreneur,3,Pilates,2,Yes,1,Blisters,Yes,7,Sensitive,4,3,3,4,5,4,348.34,1,25-35,5,4,4,3,Pack_5,Eco_Friendly,No,I prefer sustainable materials and high-end aesthetics.,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Disposable_Socks; Sweat_Towel; Body_Wipes; Deodorant_Sticks; Disposable_Underwear; Blister_Plasters,53,4,317.09
72,22,Male,Under_30k,Blue_Collar,5,Weights,3,Yes,4,Blisters,0,6,0,3,4,2,3,3,2,112.96,0,Under_15,2,2,2,2,Pack_30,Price,Unsure,"I need cheap, durable socks for heavy daily lifting.",Yes,Yes,Yes,No,Yes,No,No,Yes,No,Gym_Bag; Shaker_Bottle; Sweat_Towel; Deodorant_Sticks; Blister_Plasters,41,3,80.14
73,19,Male,Under_30k,Student,5,Pilates,2,Yes,2,Tightness,1,9,Normal,5,3,4,3,4,3,173.8,1,15-25,3,4,3,3,Pack_5,Brand,No,"I research everything and want transparent, antibacterial bamboo.",Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Disposable_Socks; Gym_Bag; Sweat_Towel; Deodorant_Sticks; Disposable_Underwear; Foot_Powder_Insert; Muscle_Recovery_Balm,38,5,174.47
74,32,Female,50k-100k,Corporate,3,Cardio,2,Yes,5,Odor,0,7,0,4,3,4,5,3,2,264.17,1,15-25,2,2,4,4,Single,Convenience,Yes,I constantly forget my gym gear and need 10-minute delivery.,Yes,No,No,No,No,Yes,Yes,Yes,No,Disposable_Socks; Gym_Bag; Disposable_Underwear; Foot_Powder_Insert; Blister_Plasters,58,4,212.76
75,21,Female,Under_30k,Student,5,Pilates,2,No,3,Tightness,1,10,Sensitive,5,3,4,4,5,4,224.77,1,15-25,3,5,2,4,Pack_5,Brand,No,"I research everything and want transparent, antibacterial bamboo.",Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Disposable_Socks; Gym_Bag; Shaker_Bottle; Sweat_Towel; Deodorant_Sticks; Disposable_Underwear; Foot_Powder_Insert; Blister_Plasters,49,4,209.88
76,27,Female,100k+,Corporate,2,Cardio,2,Yes,4,Odor,0,4,0,4,3,4,3,3,2,208.02,1,25-35,3,3,5,4,Single,Convenience,Yes,I constantly forget my gym gear and need 10-minute delivery.,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Disposable_Socks; Gym_Bag; Shaker_Bottle; Sweat_Towel; Deodorant_Sticks; Disposable_Underwear,47,2,164.47
77,27,Female,100k+,Corporate,2,Pilates,2,Yes,2,Blisters,No,8,Sensitive,4,3,3,4,3,5,321.17,1,35+,1,5,3,3,Pack_5,Eco_Friendly,No,I prefer sustainable materials and high-end aesthetics.,No,Yes,No,No,No,Yes,Yes,No,Yes,Disposable_Socks; Shaker_Bottle; Disposable_Underwear; Foot_Powder_Insert; Muscle_Recovery_Balm,55,2,205.31
78,21,Female,Under_30k,Student,4,Yoga,2,No,1,Tightness,1,10,Normal,3,4,5,3,4,5,246.19,1,25-35,5,4,2,3,Pack_5,Brand,No,"I research everything and want transparent, antibacterial bamboo.",Yes,No,No,No,Yes,Yes,Yes,No,Yes,Disposable_Socks; Gym_Bag; Deodorant_Sticks; Disposable_Underwear; Foot_Powder_Insert; Muscle_Recovery_Balm,43,6,313.33
79,25,Male,Under_30k,Student,7,Weights,3,No,4,Blisters,0,4,0,4,5,2,1,4,1,119.98,0,Under_15,1,1,3,1,Pack_30,Price,Unsure,"I need cheap, durable socks for heavy daily lifting.",Yes,Yes,No,No,No,No,No,Yes,Yes,Gym_Bag; Shaker_Bottle; Blister_Plasters; Muscle_Recovery_Balm,36,4,75.9
80,33,Male,100k+,Entrepreneur,4,Yoga,2,Yes,2,Blisters,Yes,9,Normal,5,4,3,4,4,4,323.24,1,25-35,5,4,3,3,Pack_5,Eco_Friendly,No,I prefer sustainable materials and high-end aesthetics.,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Disposable_Socks; Gym_Bag; Body_Wipes; Deodorant_Sticks; Disposable_Underwear; Foot_Powder_Insert; Blister_Plasters; Muscle_Recovery_Balm,23,4,266.97
81,24,Female,100k+,Corporate,3,Cardio,2,No,4,Odor,0,5,0,4,4,4,4,3,3,170.43,1,15-25,4,2,4,4,Single,Convenience,Yes,I constantly forget my gym gear and need 10-minute delivery.,Yes,No,No,Yes,No,Yes,Yes,No,No,Disposable_Socks; Gym_Bag; Body_Wipes; Disposable_Underwear; Foot_Powder_Insert,48,4,147.83
82,39,Female,50k-100k,Entrepreneur,2,Yoga,2,Yes,1,Odor,Yes,8,Sensitive,5,3,4,4,3,5,358.98,1,35+,4,5,3,2,Pack_5,Eco_Friendly,No,I prefer sustainable materials and high-end aesthetics.,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Disposable_Socks; Body_Wipes; Deodorant_Sticks; Disposable_Underwear; Foot_Powder_Insert; Blister_Plasters,54,2,231.97
83,35,Male,30k-50k,Blue_Collar,3,Weights,3,Yes,5,Blisters,0,4,0,3,4,3,1,4,1,128.62,0,Under_15,1,1,1,2,Pack_30,Price,Unsure,"I need cheap, durable socks for heavy daily lifting.",Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Gym_Bag; Shaker_Bottle; Disposable_Underwear; Foot_Powder_Insert; Blister_Plasters; Muscle_Recovery_Balm,56,2,65.55
84,34,Female,100k+,Corporate,5,Yoga,2,Yes,1,Odor,No,8,Normal,5,3,4,3,4,5,384.51,1,25-35,3,5,4,4,Pack_5,Eco_Friendly,No,I prefer sustainable materials and high-end aesthetics.,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Disposable_Socks; Sweat_Towel; Body_Wipes; Deodorant_Sticks; Disposable_Underwear; Foot_Powder_Insert,29,6,357.47
85,18,Male,Under_30k,Student,6,Weights,3,No,2,Blisters,0,5,0,2,4,3,2,3,2,182.22,0,Under_15,1,1,1,3,Pack_30,Price,Unsure,"I need cheap, durable socks for heavy daily lifting.",Yes,Yes,No,No,No,No,No,Yes,Yes,Gym_Bag; Shaker_Bottle; Blister_Plasters; Muscle_Recovery_Balm,39,4,121.94
86,19,Male,30k-50k,Corporate,4,Weights,3,Yes,5,Blisters,0,5,0,2,5,3,2,3,2,93.95,0,15-25,2,1,2,1,Pack_30,Price,Unsure,"I need cheap, durable socks for heavy daily lifting.",Yes,No,No,No,Yes,No,No,Yes,Yes,Gym_Bag; Deodorant_Sticks; Blister_Plasters; Muscle_Recovery_Balm,42,2,86.18
87,35,Female,100k+,Corporate,3,Yoga,2,No,1,Blisters,No,8,Normal,4,2,4,3,4,4,301.58,1,25-35,4,5,4,3,Pack_5,Eco_Friendly,No,I prefer sustainable materials and high-end aesthetics.,No,No,No,No,Yes,No,Yes,Yes,No,Disposable_Socks; Deodorant_Sticks; Foot_Powder_Insert; Blister_Plasters,40,3,235.78
88,28,Male,Under_30k,Blue_Collar,5,Weights,3,Yes,3,Blisters,0,4,0,2,5,3,1,3,2,111.36,0,Under_15,3,1,1,2,Pack_30,Price,Unsure,"I need cheap, durable socks for heavy daily lifting.",No,Yes,No,No,No,No,No,No,Yes,Shaker_Bottle; Muscle_Recovery_Balm,51,4,73.47
89,24,Male,Under_30k,Blue_Collar,7,Weights,3,No,4,Blisters,0,4,0,4,5,4,1,4,1,147.65,0,15-25,2,2,1,1,Pack_30,Price,Unsure,"I need cheap, durable socks for heavy daily lifting.",Yes,Yes,No,No,No,No,Yes,Yes,Yes,Gym_Bag; Shaker_Bottle; Foot_Powder_Insert; Blister_Plasters; Muscle_Recovery_Balm,47,6,191.1
90,25,Male,30k-50k,Corporate,6,Weights,3,No,4,Blisters,0,5,0,4,5,2,1,4,2,109.38,0,15-25,1,2,2,1,Pack_30,Price,Unsure,"I need cheap, durable socks for heavy daily lifting.",Yes,Yes,Yes,No,No,No,No,No,Yes,Gym_Bag; Shaker_Bottle; Sweat_Towel; Muscle_Recovery_Balm,46,3,129.28
91,25,Female,Under_30k,Blue_Collar,5,Weights,3,Yes,3,Blisters,0,6,0,3,5,2,2,3,1,84.32,0,Under_15,3,2,1,2,Pack_30,Price,Unsure,"I need cheap, durable socks for heavy daily lifting.",No,Yes,No,No,Yes,Yes,Yes,Yes,No,Shaker_Bottle; Deodorant_Sticks; Disposable_Underwear; Foot_Powder_Insert; Blister_Plasters,45,3,86.38
92,21,Non-binary,Under_30k,Student,4,Pilates,2,Yes,4,Tightness,1,7,Normal,3,3,5,3,4,4,180.43,1,15-25,5,4,3,4,Pack_5,Brand,No,"I research everything and want transparent, antibacterial bamboo.",Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Disposable_Socks; Gym_Bag; Sweat_Towel; Deodorant_Sticks; Disposable_Underwear; Foot_Powder_Insert; Blister_Plasters,42,6,212.23
93,20,Female,30k-50k,Student,5,Yoga,2,No,4,Tightness,1,10,Sensitive,5,3,4,3,4,4,171.94,1,15-25,2,5,2,3,Pack_5,Brand,No,"I research everything and want transparent, antibacterial bamboo.",Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Disposable_Socks; Gym_Bag; Shaker_Bottle; Sweat_Towel; Body_Wipes; Disposable_Underwear; Foot_Powder_Insert; Muscle_Recovery_Balm,39,4,175.26
94,19,Female,Under_30k,Student,3,Yoga,2,Yes,2,Tightness,1,8,Sensitive,4,5,5,3,5,4,235.67,1,25-35,3,5,2,3,Pack_5,Brand,No,"I research everything and want transparent, antibacterial bamboo.",Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Disposable_Socks; Gym_Bag; Deodorant_Sticks; Disposable_Underwear; Foot_Powder_Insert; Blister_Plasters; Muscle_Recovery_Balm,44,4,251.22
95,29,Male,50k-100k,Corporate,2,Cardio,2,Yes,4,Odor,0,6,0,3,4,5,4,3,2,214.56,1,25-35,5,3,5,5,Single,Convenience,Yes,I constantly forget my gym gear and need 10-minute delivery.,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Disposable_Socks; Shaker_Bottle; Deodorant_Sticks; Disposable_Underwear; Foot_Powder_Insert; Blister_Plasters; Muscle_Recovery_Balm,39,3,217.7
96,31,Male,50k-100k,Corporate,4,Yoga,2,Yes,2,Odor,No,8,Normal,5,2,4,4,4,5,357.52,1,35+,4,5,3,3,Pack_5,Eco_Friendly,No,I prefer sustainable materials and high-end aesthetics.,No,No,No,Yes,No,No,No,No,Yes,Disposable_Socks; Body_Wipes; Muscle_Recovery_Balm,38,3,324.21
97,27,Male,50k-100k,Corporate,3,Cardio,2,Yes,5,Odor,0,7,0,4,4,5,4,3,3,159.21,1,25-35,3,2,5,4,Single,Convenience,Yes,I constantly forget my gym gear and need 10-minute delivery.,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Disposable_Socks; Gym_Bag; Shaker_Bottle; Body_Wipes; Deodorant_Sticks; Disposable_Underwear; Foot_Powder_Insert,63,4,194.8
98,20,Male,Under_30k,Student,6,Yoga,2,Yes,2,Tightness,1,8,Sensitive,5,3,5,4,4,5,237.64,1,15-25,1,4,3,4,Pack_5,Brand,No,"I research everything and want transparent, antibacterial bamboo.",No,No,Yes,No,No,Yes,Yes,Yes,Yes,Disposable_Socks; Sweat_Towel; Disposable_Underwear; Foot_Powder_Insert; Blister_Plasters; Muscle_Recovery_Balm,44,5,214.75
99,31,Female,100k+,Corporate,4,Pilates,2,Yes,2,Odor,No,6,Normal,5,3,3,3,3,4,415.22,1,35+,2,4,4,3,Pack_5,Eco_Friendly,No,I prefer sustainable materials and high-end aesthetics.,No,No,Yes,No,No,Yes,No,Yes,Yes,Disposable_Socks; Sweat_Towel; Disposable_Underwear; Blister_Plasters; Muscle_Recovery_Balm,40,6,469.7
100,18,Female,30k-50k,Student,4,Pilates,2,No,3,Tightness,1,7,Normal,4,4,5,4,5,4,191.15,1,25-35,4,5,2,5,Pack_5,Brand,No,"I research everything and want transparent, antibacterial bamboo.",Yes,No,Yes,No,Yes,No,No,Yes,Yes,Disposable_Socks; Gym_Bag; Sweat_Towel; Deodorant_Sticks; Blister_Plasters; Muscle_Recovery_Balm,35,4,238.99
101,32,Female,100k+,Corporate,3,Pilates,2,No,1,Odor,Yes,8,Sensitive,4,3,4,4,3,4,307.2,1,25-35,4,4,3,3,Pack_5,Eco_Friendly,No,I prefer sustainable materials and high-end aesthetics.,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Disposable_Socks; Gym_Bag; Shaker_Bottle; Body_Wipes; Deodorant_Sticks; Muscle_Recovery_Balm,36,4,296.71
102,31,Male,100k+,Corporate,1,Cardio,2,No,4,Odor,0,6,0,2,3,5,4,3,3,233.12,1,25-35,4,3,4,4,Single,Convenience,Yes,I constantly forget my gym gear and need 10-minute delivery.,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Disposable_Socks; Gym_Bag; Shaker_Bottle; Body_Wipes; Deodorant_Sticks; Disposable_Underwear,53,1,111.41
103,22,Female,Under_30k,Student,7,Pilates,2,Yes,2,Tightness,1,9,Sensitive,4,4,4,3,4,5,220.93,1,15-25,5,4,3,3,Pack_5,Brand,No,"I research everything and want transparent, antibacterial bamboo.",Yes,Yes,No,No,Yes,Yes,No,No,Yes,Disposable_Socks; Gym_Bag; Shaker_Bottle; Deodorant_Sticks; Disposable_Underwear; Muscle_Recovery_Balm,28,5,207.17
104,22,Male,Under_30k,Student,3,Pilates,2,Yes,4,Tightness,1,9,Normal,3,3,5,3,4,4,293.67,1,15-25,3,3,3,3,Pack_5,Brand,No,"I research everything and want transparent, antibacterial bamboo.",Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Disposable_Socks; Gym_Bag; Sweat_Towel; Body_Wipes; Deodorant_Sticks; Foot_Powder_Insert; Blister_Plasters,33,1,118.0
105,33,Male,100k+,Corporate,2,Cardio,2,Yes,4,Odor,0,7,0,4,4,5,4,3,3,167.06,1,25-35,2,2,5,5,Single,Convenience,Yes,I constantly forget my gym gear and need 10-minute delivery.,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Disposable_Socks; Gym_Bag; Sweat_Towel; Body_Wipes; Deodorant_Sticks; Foot_Powder_Insert; Blister_Plasters,54,3,184.48
106,33,Male,50k-100k,Entrepreneur,4,Pilates,2,Yes,3,Blisters,No,7,Sensitive,4,2,4,4,4,5,312.31,1,25-35,3,5,3,4,Pack_5,Eco_Friendly,No,I prefer sustainable materials and high-end aesthetics.,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Disposable_Socks; Shaker_Bottle; Deodorant_Sticks; Foot_Powder_Insert; Blister_Plasters; Muscle_Recovery_Balm,36,3,246.99
107,24,Male,30k-50k,Student,6,Weights,3,No,4,Blisters,0,5,0,4,4,2,1,4,2,80.21,0,Under_15,3,1,2,1,Pack_30,Price,Unsure,"I need cheap, durable socks for heavy daily lifting.",Yes,No,No,No,Yes,No,No,No,Yes,Gym_Bag; Deodorant_Sticks; Muscle_Recovery_Balm,48,5,90.89
108,25,Female,100k+,Entrepreneur,5,Yoga,2,Yes,1,Blisters,No,7,Sensitive,5,3,3,3,3,5,299.39,1,25-35,2,4,3,2,Pack_5,Eco_Friendly,No,I prefer sustainable materials and high-end aesthetics.,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Disposable_Socks; Gym_Bag; Sweat_Towel; Body_Wipes; Deodorant_Sticks; Disposable_Underwear; Foot_Powder_Insert; Muscle_Recovery_Balm,40,6,327.63
109,18,Male,Under_30k,Student,4,Yoga,2,No,3,Tightness,1,9,Normal,5,3,5,4,5,5,234.24,1,15-25,4,4,3,3,Pack_5,Brand,No,"I research everything and want transparent, antibacterial bamboo.",No,No,No,No,Yes,No,No,No,Yes,Disposable_Socks; Deodorant_Sticks; Muscle_Recovery_Balm,52,4,216.67
110,36,Male,100k+,Corporate,2,Cardio,2,Yes,4,Odor,0,6,0,4,4,5,3,3,3,243.96,1,25-35,4,3,4,4,Single,Convenience,Yes,I constantly forget my gym gear and need 10-minute delivery.,No,No,No,Yes,Yes,No,Yes,Yes,No,Disposable_Socks; Body_Wipes; Deodorant_Sticks; Foot_Powder_Insert; Blister_Plasters,43,5,267.58
111,22,Female,30k-50k,Student,6,Yoga,2,No,4,Tightness,1,8,Sensitive,4,2,5,3,4,4,299.23,1,15-25,3,5,2,3,Pack_5,Brand,No,"I research everything and want transparent, antibacterial bamboo.",Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Disposable_Socks; Gym_Bag; Shaker_Bottle; Sweat_Towel; Body_Wipes; Deodorant_Sticks; Blister_Plasters; Muscle_Recovery_Balm,31,6,285.11
112,24,Male,30k-50k,Student,7,Weights,3,Yes,4,Blisters,0,3,0,4,5,2,1,3,1,161.29,0,Under_15,2,2,3,1,Pack_30,Price,Unsure,"I need cheap, durable socks for heavy daily lifting.",No,Yes,No,No,No,No,No,Yes,Yes,Shaker_Bottle; Blister_Plasters; Muscle_Recovery_Balm,37,5,138.95
113,29,Male,100k+,Corporate,1,Cardio,2,Yes,5,Odor,0,6,0,3,3,5,4,3,3,233.26,1,15-25,3,3,4,4,Single,Convenience,Yes,I constantly forget my gym gear and need 10-minute delivery.,Yes,No,No,Yes,No,Yes,Yes,No,No,Disposable_Socks; Gym_Bag; Body_Wipes; Disposable_Underwear; Foot_Powder_Insert,61,1,141.98
114,27,Male,100k+,Corporate,1,Cardio,2,No,5,Odor,0,4,0,4,4,5,4,3,2,187.31,1,25-35,3,2,4,4,Single,Convenience,Yes,I constantly forget my gym gear and need 10-minute delivery.,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Disposable_Socks; Shaker_Bottle; Sweat_Towel; Body_Wipes; Deodorant_Sticks; Disposable_Underwear; Foot_Powder_Insert; Blister_Plasters,57,3,190.59
115,23,Female,50k-100k,Corporate,2,Cardio,2,No,5,Odor,0,6,0,3,4,5,4,3,2,181.42,1,25-35,3,3,5,4,Single,Convenience,Yes,I constantly forget my gym gear and need 10-minute delivery.,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Disposable_Socks; Gym_Bag; Body_Wipes; Disposable_Underwear; Foot_Powder_Insert; Blister_Plasters; Muscle_Recovery_Balm,39,2,152.37
116,20,Male,Under_30k,Student,5,Weights,3,No,3,Blisters,0,6,0,4,5,2,2,4,1,108.11,0,Under_15,3,2,2,1,Pack_30,Price,Unsure,"I need cheap, durable socks for heavy daily lifting.",Yes,Yes,No,No,No,No,No,No,No,Gym_Bag; Shaker_Bottle,42,3,67.65
117,21,Female,30k-50k,Blue_Collar,6,Weights,3,Yes,3,Blisters,0,4,0,3,5,3,1,4,2,170.2,0,Under_15,3,1,1,2,Pack_30,Price,Unsure,"I need cheap, durable socks for heavy daily lifting.",No,Yes,No,No,No,No,Yes,Yes,Yes,Shaker_Bottle; Foot_Powder_Insert; Blister_Plasters; Muscle_Recovery_Balm,37,3,125.84
118,33,Male,100k+,Corporate,3,Yoga,2,Yes,2,Odor,No,9,Normal,4,3,4,5,3,5,359.55,1,35+,4,5,4,2,Pack_5,Eco_Friendly,No,I prefer sustainable materials and high-end aesthetics.,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Disposable_Socks; Shaker_Bottle; Body_Wipes; Deodorant_Sticks; Disposable_Underwear; Blister_Plasters,39,4,350.47
119,38,Female,100k+,Corporate,1,Cardio,2,Yes,4,Odor,0,7,0,3,3,5,5,3,2,172.85,1,15-25,2,2,3,4,Single,Convenience,Yes,I constantly forget my gym gear and need 10-minute delivery.,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Disposable_Socks; Gym_Bag; Body_Wipes; Deodorant_Sticks; Disposable_Underwear; Blister_Plasters,49,2,124.27
120,17,Male,Under_30k,Student,6,Pilates,2,Yes,3,Tightness,1,9,Sensitive,4,4,4,3,5,4,224.87,1,25-35,5,4,2,4,Pack_5,Brand,No,"I research everything and want transparent, antibacterial bamboo.",Yes,Yes,Yes,No,Yes,No,Yes,No,No,Disposable_Socks; Gym_Bag; Shaker_Bottle; Sweat_Towel; Deodorant_Sticks; Foot_Powder_Insert,43,7,333.4
121,24,Male,Under_30k,Blue_Collar,5,Weights,3,No,3,Blisters,0,6,0,4,4,3,2,4,1,163.09,0,15-25,1,1,2,2,Pack_30,Price,Unsure,"I need cheap, durable socks for heavy daily lifting.",No,Yes,No,No,Yes,Yes,Yes,No,Yes,Shaker_Bottle; Deodorant_Sticks; Disposable_Underwear; Foot_Powder_Insert; Muscle_Recovery_Balm,42,2,135.03
122,27,Female,100k+,Corporate,2,Pilates,2,No,3,Odor,No,7,Normal,5,3,3,4,3,4,367.33,1,25-35,3,4,4,3,Pack_5,Eco_Friendly,No,I prefer sustainable materials and high-end aesthetics.,Yes,No,No,No,No,No,Yes,Yes,No,Disposable_Socks; Gym_Bag; Foot_Powder_Insert; Blister_Plasters,42,3,254.44
123,33,Male,100k+,Entrepreneur,3,Pilates,2,Yes,1,Blisters,No,8,Sensitive,4,3,4,3,4,4,291.05,1,25-35,5,5,3,3,Pack_5,Eco_Friendly,No,I prefer sustainable materials and high-end aesthetics.,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Disposable_Socks; Gym_Bag; Shaker_Bottle; Body_Wipes; Deodorant_Sticks; Foot_Powder_Insert; Blister_Plasters,46,5,293.39
124,18,Non-binary,Under_30k,Student,5,Yoga,2,No,3,Tightness,1,8,Normal,5,3,4,3,4,5,285.16,1,15-25,4,5,3,3,Pack_5,Brand,No,"I research everything and want transparent, antibacterial bamboo.",Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Disposable_Socks; Gym_Bag; Shaker_Bottle; Sweat_Towel; Body_Wipes; Disposable_Underwear; Muscle_Recovery_Balm,36,4,215.93
125,21,Female,30k-50k,Student,5,Weights,3,Yes,3,Blisters,0,5,0,4,4,2,2,4,1,95.33,0,Under_15,3,1,1,1,Pack_30,Price,Unsure,"I need cheap, durable socks for heavy daily lifting.",Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Gym_Bag; Shaker_Bottle; Body_Wipes; Disposable_Underwear; Foot_Powder_Insert; Muscle_Recovery_Balm,40,3,64.09
126,37,Female,50k-100k,Corporate,1,Cardio,2,No,4,Odor,0,6,0,3,3,5,5,2,2,200.63,1,15-25,3,3,4,5,Single,Convenience,Yes,I constantly forget my gym gear and need 10-minute delivery.,Yes,No,No,No,No,Yes,Yes,No,Yes,Disposable_Socks; Gym_Bag; Disposable_Underwear; Foot_Powder_Insert; Muscle_Recovery_Balm,59,2,145.15
127,21,Male,Under_30k,Student,6,Weights,3,No,4,Blisters,0,4,0,4,4,3,1,4,1,89.74,0,15-25,1,1,2,2,Pack_30,Price,Unsure,"I need cheap, durable socks for heavy daily lifting.",Yes,No,No,No,No,Yes,No,Yes,Yes,Gym_Bag; Disposable_Underwear; Blister_Plasters; Muscle_Recovery_Balm,45,2,72.22
128,21,Male,30k-50k,Student,7,Weights,3,Yes,5,Blisters,0,2,0,4,5,2,1,4,2,80.33,0,Under_15,2,1,1,1,Pack_30,Price,Unsure,"I need cheap, durable socks for heavy daily lifting.",No,Yes,No,No,No,No,Yes,Yes,No,Shaker_Bottle; Foot_Powder_Insert; Blister_Plasters,38,4,73.65
129,31,Male,100k+,Corporate,3,Pilates,2,Yes,1,Odor,No,7,Sensitive,5,2,3,4,3,4,305.76,1,25-35,3,5,3,3,Pack_5,Eco_Friendly,No,I prefer sustainable materials and high-end aesthetics.,No,No,No,Yes,Yes,Yes,Yes,No,No,Disposable_Socks; Body_Wipes; Deodorant_Sticks; Disposable_Underwear; Foot_Powder_Insert,52,2,216.56
130,21,Female,30k-50k,Blue_Collar,5,Weights,3,No,5,Blisters,0,6,0,2,4,3,1,4,2,118.83,0,15-25,1,1,2,2,Pack_30,Price,Unsure,"I need cheap, durable socks for heavy daily lifting.",Yes,Yes,No,No,No,Yes,No,Yes,Yes,Gym_Bag; Shaker_Bottle; Disposable_Underwear; Blister_Plasters; Muscle_Recovery_Balm,47,3,124.66
131,29,Male,100k+,Corporate,2,Cardio,2,No,5,Odor,0,6,0,3,3,3,4,2,3,258.11,1,15-25,4,3,5,3,Single,Convenience,Yes,I constantly forget my gym gear and need 10-minute delivery.,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Disposable_Socks; Gym_Bag; Shaker_Bottle; Body_Wipes; Deodorant_Sticks; Disposable_Underwear; Blister_Plasters; Muscle_Recovery_Balm,42,3,193.88
132,19,Male,Under_30k,Student,5,Yoga,2,No,2,Tightness,1,7,Normal,5,3,4,4,5,5,233.87,1,15-25,4,5,3,3,Pack_5,Brand,No,"I research everything and want transparent, antibacterial bamboo.",No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Disposable_Socks; Shaker_Bottle; Body_Wipes; Disposable_Underwear; Foot_Powder_Insert; Blister_Plasters; Muscle_Recovery_Balm,32,5,250.44
